source,title,body,published,url,is_concession,matched_drugs,drug_count
cpe_news,Shortages Latest News,The final list of price concessions granted for February 2026 includes 174 lines. This is the highest number of concessions granted since March 2023. Drug…,,https://cpe.org.uk/our-latest-news-category/covid/,1,,0
cpe_news,Most price concessions granted since March 2023,The final list of price concessions granted for February 2026 includes 174 lines. This is the highest number of concessions granted since March 2023. Drug…,,https://cpe.org.uk/our-news/most-price-concessions-granted-since-march-2023/,1,,0
cpe_news,Medicine Supply Notification: Propranolol 80mg and 160mg modified release capsules – Updated,Update 05/03/2026:  Propranolol 80mg modified release capsules are out of stock until July 2026 Propranolol 160mg modified release capsules are out of stock until July…,,https://cpe.org.uk/our-news/medicine-supply-notification-propranolol-80mg-and-160mg-modified-release-capsules/,0,propranolol 10mg tablets|propranolol 160mg modified-release capsules|propranolol 40mg tablets|propranolol 80mg tablets,4
cpe_news,Medicine Supply Notification: Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free and Co-trimoxazole 80mg/400mg/5ml oral suspension,Department of Health and Social Care (DHSC) has issued a medicine supply notification for Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free and Co-trimoxazole 80mg/400mg/5ml oral suspension…,,https://cpe.org.uk/our-news/medicine-supply-notification-co-trimoxazole-40mg-200mg-5ml-oral-suspension-sugar-free-and-co-trimoxazole-80mg-400mg-5ml-oral-suspension/,0,co-trimoxazole 80mg/400mg tablets,1
cpe_news,Medicine Supply Notification: Sodium valproate (Epilim Chronosphere® ) 100mg modified-release granules sachets sugar free,Department of Health and Social Care (DHSC) has issued a medicine supply notification for Sodium valproate (Epilim Chronosphere®) 100mg modified-release granules sachets sugar free. MSN/2026/012…,,https://cpe.org.uk/our-news/medicine-supply-notification-sodium-valproate-epilim-chronosphere-100mg-modified-release-granules-sachets-sugar-free/,0,sodium fluoride 1.1% dental paste sugar free|sodium valproate 200mg/5ml oral solution sugar free|sodium valproate 500mg gastro-resistant tablets|sodium fluoride 0.619% dental paste sugar free|sodium cromoglicate 2% eye drops|sodium valproate 200mg gastro-resistant tablets|sodium bicarbonate 500mg capsules|sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,8
cpe_news,Medicine Supply Notification: Propafenone (Arythmol® ) 150mg tablets,Department of Health and Social Care (DHSC) has issued a medicine supply notification for Propafenone (Arythmol®) 150mg tablets MSN/2026/011 Tier 2 – Medium impact Date…,,https://cpe.org.uk/our-news/medicine-supply-notification-propafenone-arythmol-150mg-tablets/,0,,0
cpe_news,Medicine Supply Notification: Phenobarbital 30mg and 60mg tablets,Department of Health and Social Care (DHSC) has issued a medicine supply notification for Phenobarbital 30mg and 60mg tablets. MSN/2026/010 Tier 2 – Medium impact…,,https://cpe.org.uk/our-news/medicine-supply-notification-phenobarbital-30mg-and-60mg-tablets/,0,phenobarbital 30mg tablets,1
cpe_news,Medicine Supply Notification: Sulfadiazine silver (Flamazine®) 1% cream,Department of Health and Social Care (DHSC) has issued a medicine supply notification for Sulfadiazine silver (Flamazine®) 1% cream. MSN/2026/007 Tier 2 – medium impact…,,https://cpe.org.uk/our-news/medicine-supply-notification-sulfadiazine-silver-flamazine-1-cream-2/,0,,0
cpe_news,SSP60 – Creon® 10000 gastro-resistant capsules further extended,Update 29/01/26 – The Department of Health and Social Care (DHSC) has provided an update on the Serious Shortage Protocol (SSP) for Creon® 25000 gastro-resistant…,,https://cpe.org.uk/our-news/ssp60-creon-10000-gastro-resistant-capsules-further-extended/,1,,0
cpe_news,Medicine Supply Notification: Oxybutynin (Kentera® ) 3.9mg/24hours transdermal patches,Department of Health and Social Care (DHSC) has issued a medicine supply notification for Oxybutynin (Kentera®) 3.9mg/24hours transdermal patches. MSN/2026/004 Tier 2 – Medium impact…,,https://cpe.org.uk/our-news/medicine-supply-notification-oxybutynin-kentera-3-9mg-24hours-transdermal-patches/,0,oxybutynin 5mg tablets|oxybutynin 10mg modified-release tablets|oxybutynin 2.5mg tablets|oxybutynin 5mg modified-release tablets,4
